ID,RefSeq_accession_number,gene_symbol,gene_name
3764,NP_004664,ANGPTL1,angiopoietin-related protein 1 precursor
3765,NP_114123,ANGPTL6,angiopoietin-related protein 6 precursor
3766,NP_002258,KPNA3,importin subunit alpha-3
3767,NP_002259,KPNA4,importin subunit alpha-4
3768,NP_078920,C14ORF169,bifunctional lysine-specific demethylase and histidyl-hydroxylase NO66
3769,NP_003555,TAGLN2,transgelin-2 isoform b
3770,NP_037391,TAGLN3,transgelin-3
3771,NP_001129064,RPS27A,ubiquitin-40S ribosomal protein S27a precursor
3772,NP_001029102,UBA52,ubiquitin-60S ribosomal protein L40 precursor
3773,NP_001186226,UIMC1,BRCA1-A complex subunit RAP80
3774,NP_005376,NKTR,NK-tumor recognition protein
3775,NP_000526,PMS2,mismatch repair endonuclease PMS2 isoform a
3776,NP_872578,MRPS9,"28S ribosomal protein S9, mitochondrial"
3777,NP_056516,ERLEC1,endoplasmic reticulum lectin 1 isoform 1 precursor
3778,NP_786924,UBR7,putative E3 ubiquitin-protein ligase UBR7
3779,NP_060495,GPATCH1,G patch domain-containing protein 1
3780,NP_003357,UQCRC2,"cytochrome b-c1 complex subunit 2, mitochondrial precursor"
3781,NP_009109,STRAP,serine-threonine kinase receptor-associated protein
3782,NP_001104262,MECP2,methyl-CpG-binding protein 2 isoform 2
3783,NP_001156907,TBCK,TBC domain-containing protein kinase-like protein isoform a
3784,NP_004535,NDUFA10,NADH dehydrogenase
3785,NP_060341,CPSF3L,integrator complex subunit 11 isoform 2
3786,NP_001001976,ATE1,arginyl-tRNA--protein transferase 1 isoform 1
3787,NP_008972,ATE1,arginyl-tRNA--protein transferase 1 isoform 2
3788,NP_005908,MDH1,"malate dehydrogenase, cytoplasmic isoform 2"
3789,NP_064520,WRNIP1,ATPase WRNIP1 isoform 1
3790,NP_852608,HPS5,Hermansky-Pudlak syndrome 5 protein isoform a
3791,NP_001017973,P4HA2,prolyl 4-hydroxylase subunit alpha-2 isoform 2 precursor
3792,NP_061848,TERF2IP,telomeric repeat-binding factor 2-interacting protein 1
3793,NP_073713,CTBP2,C-terminal-binding protein 2 isoform 2
3794,NP_001320,CTBP2,C-terminal-binding protein 2 isoform 1
3795,NP_001012632,CTBP1,C-terminal-binding protein 1 isoform 2
3796,NP_001319,CTBP1,C-terminal-binding protein 1 isoform 1
3797,NP_002309,LOXL2,lysyl oxidase homolog 2 precursor
3798,NP_112180,SNX27,sorting nexin-27
3799,NP_001185951,CCP110,centriolar coiled-coil protein of 110 kDa isoform 1
3800,NP_056127,KIAA1109,uncharacterized protein KIAA1109
3801,NP_055177,HIBCH,"3-hydroxyisobutyryl-CoA hydrolase, mitochondrial isoform 1 precursor"
3802,NP_689929,PATL1,protein PAT1 homolog 1
3803,NP_116584,MAPKAPK2,MAP kinase-activated protein kinase 2 isoform 2
3804,NP_004626,MAPKAPK3,MAP kinase-activated protein kinase 3
3805,NP_004025,ANXA7,annexin A7 isoform 2
3806,NP_001240752,BLVRA,biliverdin reductase A precursor
3807,NP_001113,PLIN2,perilipin-2
3808,NP_001012533,FECH,"ferrochelatase, mitochondrial isoform a precursor"
3809,NP_005008,PCYT1A,choline-phosphate cytidylyltransferase A
3810,NP_001156736,PCYT1B,choline-phosphate cytidylyltransferase B isoform 2
3811,NP_036361,NT5C2,cytosolic purine 5'-nucleotidase
3812,NP_060939,TEX2,testis-expressed sequence 2 protein
3813,NP_001034662,SEC14L1,SEC14-like protein 1 isoform b
3814,NP_006566,MAP4K5,mitogen-activated protein kinase kinase kinase kinase 5
3815,NP_060796,GIMAP4,GTPase IMAP family member 4
3816,NP_001231001,GIMAP6,GTPase IMAP family member 6 isoform 2
3817,NP_689647,CWF19L2,CWF19-like protein 2
3818,NP_004541,NDUFS2,NADH dehydrogenase
3819,NP_003819,MTMR1,myotubularin-related protein 1
3820,NP_001138422,SSC5D,soluble scavenger receptor cysteine-rich domain-containing protein SSC5D isoform 1 precursor
3821,NP_000433,PECAM1,platelet endothelial cell adhesion molecule precursor
3822,NP_060501,WDR6,WD repeat-containing protein 6
3823,NP_055659,TECPR2,tectonin beta-propeller repeat-containing protein 2 isoform 1
3824,NP_004805,SNRNP40,U5 small nuclear ribonucleoprotein 40 kDa protein
3825,NP_006747,TCEA1,transcription elongation factor A protein 1 isoform 1
3826,NP_003186,TCEA2,transcription elongation factor A protein 2 isoform a
3827,NP_004451,FAP,seprase
3828,NP_859063,KANK4,KN motif and ankyrin repeat domain-containing protein 4
3829,NP_056017,KIAA0556,uncharacterized protein KIAA0556
3830,NP_071347,RNF123,E3 ubiquitin-protein ligase RNF123
3831,NP_060679,ARFGAP1,ADP-ribosylation factor GTPase-activating protein 1 isoform a
3832,NP_006092,NDC80,kinetochore protein NDC80 homolog
3833,NP_065132,GOPC,Golgi-associated PDZ and coiled-coil motif-containing protein isoform a
3834,NP_002694,PPAT,amidophosphoribosyltransferase proprotein
3835,NP_001185885,DCAF6,DDB1- and CUL4-associated factor 6 isoform c
3836,NP_001185886,DCAF6,DDB1- and CUL4-associated factor 6 isoform d
3837,NP_001027467,STK24,serine/threonine-protein kinase 24 isoform b
3838,NP_057626,MST4,serine/threonine-protein kinase MST4 isoform 1
3839,NP_001035917,MST4,serine/threonine-protein kinase MST4 isoform 3
3840,NP_001258906,STK25,serine/threonine-protein kinase 25 isoform 1
3841,NP_002809,PSME2,proteasome activator complex subunit 2
3842,NP_000402,HLCS,biotin--protein ligase
3843,NP_067064,WIZ,protein Wiz
3844,NP_001135869,CTIF,CBP80/20-dependent translation initiation factor isoform 2
3845,NP_055587,CTIF,CBP80/20-dependent translation initiation factor isoform 1
3846,NP_002452,MVD,diphosphomevalonate decarboxylase
3847,NP_061167,LANCL2,lanC-like protein 2
3848,NP_149094,RHPN2,rhophilin-2
3849,NP_057381,PCYOX1,prenylcysteine oxidase 1 precursor
3850,NP_054859,SMARCAL1,SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A-like protein 1
3851,NP_110395,ILKAP,integrin-linked kinase-associated serine/threonine phosphatase 2C
3852,NP_003694,NOP14,nucleolar protein 14
3853,NP_002305,LIMK1,LIM domain kinase 1 isoform 1
3854,NP_038460,NFKBIL2,tonsoku-like protein
3855,NP_009297,ABL1,tyrosine-protein kinase ABL1 isoform b
3856,NP_005148,ABL1,tyrosine-protein kinase ABL1 isoform a
3857,NP_009298,ABL2,Abelson tyrosine-protein kinase 2 isoform b
3858,NP_056541,DCAF8,DDB1- and CUL4-associated factor 8
3859,NP_001017930,DCAF8L1,DDB1- and CUL4-associated factor 8-like protein 1
3860,NP_001130005,DCAF8L2,DDB1- and CUL4-associated factor 8-like protein 2
3861,NP_777567,PPP4R2,serine/threonine-protein phosphatase 4 regulatory subunit 2
3862,NP_588615,ZNF618,zinc finger protein 618
3863,NP_060439,IWS1,protein IWS1 homolog
3864,NP_001138303,PHB2,prohibitin-2 isoform 1
3865,NP_057322,ANAPC7,anaphase-promoting complex subunit 7 isoform a
3866,NP_005735,ARIH1,E3 ubiquitin-protein ligase ARIH1
3867,NP_055487,KIAA0391,mitochondrial ribonuclease P protein 3 isoform 1 precursor
3868,NP_004374,CSK,tyrosine-protein kinase CSK
3869,NP_002369,MATK,megakaryocyte-associated tyrosine-protein kinase isoform b
3870,NP_647611,MATK,megakaryocyte-associated tyrosine-protein kinase isoform c
3871,NP_055857,ZNF609,zinc finger protein 609
3872,NP_001161206,VARS2,"valine--tRNA ligase, mitochondrial isoform 1"
3873,NP_000088,CPOX,"coproporphyrinogen-III oxidase, mitochondrial precursor"
3874,NP_683877,PSMA1,proteasome subunit alpha type-1 isoform 1
3875,NP_001491,GMDS,"GDP-mannose 4,6 dehydratase isoform 1"
3876,NP_005085,SLC27A4,long-chain fatty acid transport protein 4
3877,NP_940982,SLC27A1,long-chain fatty acid transport protein 1
3878,NP_005877,KATNB1,katanin p80 WD40 repeat-containing subunit B1
3879,NP_001269,CHUK,inhibitor of nuclear factor kappa-B kinase subunit alpha
3880,NP_055735,ICK,serine/threonine-protein kinase ICK
3881,NP_001229314,MAK,serine/threonine-protein kinase MAK isoform 2
3882,NP_954592,CARM1,histone-arginine methyltransferase CARM1
3883,NP_058632,UBN1,ubinuclein-1
3884,NP_001248337,BCAR3,breast cancer anti-estrogen resistance protein 3 isoform 1
3885,NP_005990,TSNAX,translin-associated protein X
3886,NP_055246,PALD1,paladin
3887,NP_060289,RG9MTD1,mitochondrial ribonuclease P protein 1 precursor
3888,NP_003891,SQSTM1,sequestosome-1 isoform 1
3889,NP_002871,RAF1,RAF proto-oncogene serine/threonine-protein kinase
3890,NP_001645,ARAF,serine/threonine-protein kinase A-Raf isoform 1
3891,NP_001243125,ARAF,serine/threonine-protein kinase A-Raf isoform 2
3892,NP_004324,BRAF,serine/threonine-protein kinase B-raf
3893,NP_006779,RALBP1,ralA-binding protein 1
3894,NP_061877,ANKIB1,ankyrin repeat and IBR domain-containing protein 1
3895,NP_058431,CRK,adapter molecule crk isoform a
3896,NP_005197,CRK,adapter molecule crk isoform b
3897,NP_004625,BRPF1,peregrin isoform 2
3898,NP_997198,CMPK2,"UMP-CMP kinase 2, mitochondrial isoform 1 precursor"
3899,NP_002035,GALK2,N-acetylgalactosamine kinase isoform 1
3900,NP_001473,GATM,"glycine amidinotransferase, mitochondrial precursor"
3901,NP_150644,RPL8,60S ribosomal protein L8
3902,NP_036356,NEK1,serine/threonine-protein kinase Nek1 isoform 2
3903,NP_001186326,NEK1,serine/threonine-protein kinase Nek1 isoform 1
3904,NP_071938,NARFL,cytosolic Fe-S cluster assembly factor NARFL
3905,NP_036468,NARF,nuclear prelamin A recognition factor isoform a
3906,NP_056393,LSM14A,protein LSM14 homolog A isoform b
3907,NP_653304,LSM14B,protein LSM14 homolog B
3908,NP_000261,PNP,purine nucleoside phosphorylase
3909,NP_078941,TBL1XR1,F-box-like/WD repeat-containing protein TBL1XR1
3910,NP_005638,TBL1X,F-box-like/WD repeat-containing protein TBL1X isoform a
3911,NP_150600,TBL1Y,F-box-like/WD repeat-containing protein TBL1Y
3912,NP_001077083,EARS2,"probable glutamate--tRNA ligase, mitochondrial"
3913,NP_443134,STK11IP,serine/threonine-protein kinase 11-interacting protein
3914,NP_057321,ANAPC5,anaphase-promoting complex subunit 5 isoform a
3915,NP_631961,TAF15,TATA-binding protein-associated factor 2N isoform 1
3916,NP_004951,FUS,RNA-binding protein FUS isoform 1
3917,NP_002604,PDPK1,3-phosphoinositide-dependent protein kinase 1 isoform 1
3918,NP_055531,ACAP1,"arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein 1"
3919,NP_001245308,SLC4A7,sodium bicarbonate cotransporter 3 isoform b
3920,NP_002330,LSP1,lymphocyte-specific protein 1 isoform 1
3921,NP_005409,ST5,suppression of tumorigenicity 5 protein isoform 1
3922,NP_056504,DENND2A,DENN domain-containing protein 2A
3923,NP_008998,MYST2,histone acetyltransferase KAT7 isoform 1
3924,NP_115564,MYST1,histone acetyltransferase KAT8 isoform 1
3925,NP_006452,SPAG5,sperm-associated antigen 5
3926,NP_056076,NCAPD3,condensin-2 complex subunit D3
3927,NP_444505,RPLP0,60S acidic ribosomal protein P0
3928,NP_061955,DDX56,probable ATP-dependent RNA helicase DDX56 isoform 1
3929,NP_057025,ATP6V1H,V-type proton ATPase subunit H isoform 1
3930,NP_001171501,SF1,splicing factor 1 isoform 6
3931,NP_973726,SF1,splicing factor 1 isoform 4
3932,NP_653081,OSBPL2,oxysterol-binding protein-related protein 2 isoform 2
3933,NP_005326,HCLS1,hematopoietic lineage cell-specific protein
3934,NP_085046,ITIH5,inter-alpha-trypsin inhibitor heavy chain H5 isoform 1 precursor
3935,NP_001001851,ITIH5,inter-alpha-trypsin inhibitor heavy chain H5 isoform 3 precursor
3936,NP_079197,POF1B,protein POF1B
3937,NP_001185824,ACY1,aminoacylase-1 isoform a
3938,NP_059122,NUP54,nucleoporin p54 isoform 1
3939,NP_001005743,NUMB,protein numb homolog isoform 1
3940,NP_004747,NUMBL,numb-like protein
3941,NP_005408,SRC,proto-oncogene tyrosine-protein kinase Src
3942,NP_005424,YES1,tyrosine-protein kinase Yes
3943,NP_005347,LCK,tyrosine-protein kinase Lck precursor
3944,NP_002028,FYN,tyrosine-protein kinase Fyn isoform a
3945,NP_835224,SESTD1,SEC14 domain and spectrin repeat-containing protein 1
3946,NP_003636,SLC27A2,very long-chain acyl-CoA synthetase isoform 1
3947,NP_001123493,ATP6V0A1,V-type proton ATPase 116 kDa subunit a isoform 1 isoform b
3948,NP_001123492,ATP6V0A1,V-type proton ATPase 116 kDa subunit a isoform 1 isoform a
3949,NP_444271,RBM33,RNA-binding protein 33
3950,NP_115759,HPS3,Hermansky-Pudlak syndrome 3 protein
3951,NP_612453,KCTD12,BTB/POZ domain-containing protein KCTD12
3952,NP_065819,KCTD16,BTB/POZ domain-containing protein KCTD16
3953,NP_938167,KCTD8,BTB/POZ domain-containing protein KCTD8
3954,NP_000333,SLC4A1,band 3 anion transport protein
3955,NP_079032,MMRN2,multimerin-2 precursor
3956,NP_065797,MAVS,mitochondrial antiviral-signaling protein isoform 1
3957,NP_066553,NDUFV3,NADH dehydrogenase
3958,NP_001001503,NDUFV3,NADH dehydrogenase
3959,NP_055186,AKAP8L,A-kinase anchor protein 8-like
3960,NP_055815,STK38L,serine/threonine-protein kinase 38-like
3961,NP_009202,STK38,serine/threonine-protein kinase 38
3962,NP_001248357,LPIN1,phosphatidate phosphatase LPIN1 isoform 3
3963,NP_055461,LPIN2,phosphatidate phosphatase LPIN2
3964,NP_057164,GLOD4,glyoxalase domain-containing protein 4
3965,NP_116219,CIRH1A,cirhin
3966,NP_060615,FAM82A2,regulator of microtubule dynamics protein 3
3967,NP_005179,CBL,E3 ubiquitin-protein ligase CBL
3968,NP_733762,CBLB,E3 ubiquitin-protein ligase CBL-B
3969,NP_055051,GNPAT,dihydroxyacetone phosphate acyltransferase
3970,NP_003175,TAF2,transcription initiation factor TFIID subunit 2
3971,NP_001092094,MID1,midline-1 isoform 1
3972,NP_001180207,MID1,midline-1 isoform 3
3973,NP_036348,MID2,probable E3 ubiquitin-protein ligase MID2 isoform 1
3974,NP_001130046,LANCL1,lanC-like protein 1
3975,NP_056216,HDAC7,histone deacetylase 7 isoform a
3976,NP_002010,FLT1,vascular endothelial growth factor receptor 1 isoform 1 precursor
3977,NP_001153392,FLT1,vascular endothelial growth factor receptor 1 isoform 2 precursor
3978,NP_001041659,RCC1,regulator of chromosome condensation isoform a
3979,NP_859048,PRDX1,peroxiredoxin-1
3980,NP_005800,PRDX2,peroxiredoxin-2
3981,NP_006397,PRDX4,peroxiredoxin-4 precursor
3982,NP_777573,C14ORF21,nucleolar protein 9
3983,NP_003812,RIPK2,receptor-interacting serine/threonine-protein kinase 2
3984,NP_004472,GALNT2,polypeptide N-acetylgalactosaminyltransferase 2 precursor
3985,NP_003765,GALNT4,polypeptide N-acetylgalactosaminyltransferase 4
3986,NP_001186711,GALNT4,POC1B-GALNT4 protein isoform 2
3987,NP_056268,THUMPD3,THUMP domain-containing protein 3
3988,NP_065937,USP28,ubiquitin carboxyl-terminal hydrolase 28
3989,NP_009115,NISCH,nischarin isoform 1
3990,NP_001263223,NISCH,nischarin isoform 3
3991,NP_987101,G3BP2,ras GTPase-activating protein-binding protein 2 isoform a
3992,NP_987100,G3BP2,ras GTPase-activating protein-binding protein 2 isoform b
3993,NP_689753,SCFD2,sec1 family domain-containing protein 2
3994,NP_001157,BIRC2,baculoviral IAP repeat-containing protein 2 isoform 1
3995,NP_001156,BIRC3,baculoviral IAP repeat-containing protein 3
3996,NP_005566,LNPEP,leucyl-cystinyl aminopeptidase isoform 1
3997,NP_787116,LNPEP,leucyl-cystinyl aminopeptidase isoform 2
3998,NP_006316,RAN,GTP-binding nuclear protein Ran
3999,NP_001245244,ECT2,protein ECT2 isoform a
4000,NP_004783,PPIG,peptidyl-prolyl cis-trans isomerase G
4001,NP_006215,PITPNA,phosphatidylinositol transfer protein alpha isoform
4002,NP_036531,PITPNB,phosphatidylinositol transfer protein beta isoform
4003,NP_001600,ACADSB,"short/branched chain specific acyl-CoA dehydrogenase, mitochondrial precursor"
4004,NP_006209,PIK3CA,"phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit alpha isoform"
4005,NP_001157207,MYO19,unconventional myosin-XIX isoform 2
4006,NP_065941,KIAA1524,protein CIP2A
4007,NP_005237,FER,tyrosine-protein kinase Fer
4008,NP_001996,FES,tyrosine-protein kinase Fes/Fps isoform 1
4009,NP_055362,TMOD3,tropomodulin-3
4010,NP_055363,TMOD2,tropomodulin-2 isoform a
4011,NP_001078880,C5ORF33,"NAD kinase domain-containing protein 1, mitochondrial isoform 1"
4012,NP_039234,CLIC4,chloride intracellular channel protein 4
4013,NP_005782,MPHOSPH10,U3 small nucleolar ribonucleoprotein protein MPP10
4014,NP_038470,STOML2,"stomatin-like protein 2, mitochondrial"
4015,NP_061994,PPP1R37,protein phosphatase 1 regulatory subunit 37
4016,NP_620164,CMBL,carboxymethylenebutenolidase homolog
4017,NP_997245,KIAA1211L,uncharacterized protein KIAA1211-like
4018,NP_002885,RBBP8,DNA endonuclease RBBP8 isoform a
4019,NP_995315,NFIC,nuclear factor 1 C-type isoform 2
4020,NP_001231931,NFIC,nuclear factor 1 C-type isoform 1
4021,NP_001231934,NFIC,nuclear factor 1 C-type isoform 4
4022,NP_005588,NFIC,nuclear factor 1 C-type isoform 5
4023,NP_001257972,NFIX,nuclear factor 1 X-type isoform 1
4024,NP_001177666,NFIB,nuclear factor 1 B-type isoform 1
4025,NP_002492,NFIX,nuclear factor 1 X-type isoform 2
4026,NP_005587,NFIB,nuclear factor 1 B-type isoform 3
4027,NP_005586,NFIA,nuclear factor 1 A-type isoform 2
4028,NP_060037,NAGK,N-acetyl-D-glucosamine kinase
4029,NP_002632,PIGA,phosphatidylinositol N-acetylglucosaminyltransferase subunit A isoform 1
4030,NP_065206,PIGA,phosphatidylinositol N-acetylglucosaminyltransferase subunit A isoform 3
4031,NP_004528,NAP1L1,nucleosome assembly protein 1-like 1
4032,NP_005960,NAP1L4,nucleosome assembly protein 1-like 4
4033,NP_006370,SEMA3C,semaphorin-3C precursor
4034,NP_148935,OGN,mimecan preproprotein
4035,NP_000445,SOD1,superoxide dismutase
4036,NP_775837,PRR14L,protein PRR14L
4037,NP_076936,PRR14,proline-rich protein 14
4038,NP_000035,AR,androgen receptor isoform 1
4039,NP_004748,AIMP1,aminoacyl tRNA synthase complex-interacting multifunctional protein 1 isoform a precursor
4040,NP_001015048,BAG5,BAG family molecular chaperone regulator 5 isoform b
4041,NP_001015049,BAG5,BAG family molecular chaperone regulator 5 isoform a
4042,NP_057305,DCTN4,dynactin subunit 4 isoform b
4043,NP_001129115,DCTN4,dynactin subunit 4 isoform a
4044,NP_003016,SH3GL1,endophilin-A2 isoform 1
4045,NP_003017,SH3GL2,endophilin-A1
4046,NP_005318,HADH,"hydroxyacyl-coenzyme A dehydrogenase, mitochondrial isoform 2 precursor"
4047,NP_001805,CTSC,dipeptidyl peptidase 1 isoform a preproprotein
4048,NP_057951,RALY,RNA-binding protein Raly isoform 1
4049,NP_001093862,RALYL,RNA-binding Raly-like protein isoform 2
4050,NP_001026902,YTHDC1,YTH domain-containing protein 1 isoform 1
4051,NP_006461,TRIM16,tripartite motif-containing protein 16
4052,NP_001032407,TRIM16L,tripartite motif-containing protein 16-like protein
4053,NP_005489,AP1M2,AP-1 complex subunit mu-2
4054,NP_001123996,AP1M1,AP-1 complex subunit mu-1 isoform 1
4055,NP_955445,PRC1,protein regulator of cytokinesis 1 isoform 2
4056,NP_001254509,PRC1,protein regulator of cytokinesis 1 isoform 4
4057,NP_001104792,DDX54,ATP-dependent RNA helicase DDX54 isoform 1
4058,NP_076977,DDX54,ATP-dependent RNA helicase DDX54 isoform 2
4059,NP_060821,FGD6,"FYVE, RhoGEF and PH domain-containing protein 6"
4060,NP_056029,DDHD2,phospholipase DDHD2 isoform 1
4061,NP_001181,BCAT2,"branched-chain-amino-acid aminotransferase, mitochondrial isoform a precursor"
4062,NP_001158245,BCAT2,"branched-chain-amino-acid aminotransferase, mitochondrial isoform b"
4063,NP_115551,UTP15,U3 small nucleolar RNA-associated protein 15 homolog
4064,NP_001092108,RNF169,E3 ubiquitin-protein ligase RNF169
4065,NP_001135766,SPG20,spartin
4066,NP_001035526,YARS2,"tyrosine--tRNA ligase, mitochondrial precursor"
4067,NP_057123,C14ORF166,UPF0568 protein C14orf166
4068,NP_659419,ZFC3H1,zinc finger C3H1 domain-containing protein
4069,NP_002444,MTIF2,"translation initiation factor IF-2, mitochondrial precursor"
4070,NP_057377,BIN2,bridging integrator 2
4071,NP_647597,BIN1,myc box-dependent-interacting protein 1 isoform 5
4072,NP_001626,AMPH,amphiphysin isoform 1
4073,NP_002625,PHB,prohibitin
4074,NP_001135858,PDK3,"pyruvate dehydrogenase kinase, isozyme 3 isoform 1 precursor"
4075,NP_002601,PDK1,[6S proteasome non-ATPase regulatory subunit 12 isoform 2
4076,NP_002602,PDK2,"pyruvate dehydrogenase kinase, isozyme 2 isoform 1 precursor"
4077,NP_055918,PLXND1,plexin-D1 precursor
4078,NP_001248342,DCTN2,dynactin subunit 2 isoform 3
4079,NP_001248341,DCTN2,dynactin subunit 2 isoform 2
4080,NP_000007,ACADM,"medium-chain specific acyl-CoA dehydrogenase, mitochondrial isoform a precursor"
4081,NP_056342,TBC1D10B,TBC1 domain family member 10B
4082,NP_008993,PWP1,periodic tryptophan protein 1 homolog
4083,NP_001876,CRYAB,alpha-crystallin B chain
4084,NP_001316,CSTF2,cleavage stimulation factor subunit 2
4085,NP_056050,CSTF2T,cleavage stimulation factor subunit 2 tau variant
4086,NP_055152,PPIL2,peptidyl-prolyl cis-trans isomerase-like 2 isoform a
4087,NP_680481,PPIL2,peptidyl-prolyl cis-trans isomerase-like 2 isoform b
4088,NP_057393,LCMT1,leucine carboxyl methyltransferase 1 isoform a
4089,NP_060205,TTC27,tetratricopeptide repeat protein 27 isoform 1
4090,NP_060204,PALMD,palmdelphin
4091,NP_006776,MALT1,mucosa-associated lymphoid tissue lymphoma translocation protein 1 isoform a
4092,NP_776216,MALT1,mucosa-associated lymphoid tissue lymphoma translocation protein 1 isoform b
4093,NP_001154806,HIST2H2B,histone H2B type 2-F isoform b
4094,NP_066407,HIST1H2B,histone H2B type 1-D
4095,NP_003511,HIST1H2B,histone H2B type 1-N
4096,NP_003512,HIST1H2B,histone H2B type 1-M
4097,NP_542160,HIST1H2B,histone H2B type 1-K
4098,NP_003519,HIST2H2B,histone H2B type 2-E
4099,NP_778225,HIST3H2B,histone H2B type 3-B
4100,NP_733759,HIST1H2B,histone H2B type 1-A
4101,NP_002630,SERPINB5,serpin B5
4102,NP_003898,EIF2B5,translation initiation factor eIF-2B subunit epsilon
4103,NP_004815,CDYL,chromodomain Y-like protein isoform a
4104,NP_004816,CDY2A,testis-specific chromodomain protein Y 2
4105,NP_004671,CDY2A,testis-specific chromodomain protein Y 1 isoform b
4106,NP_055534,TCAF1,protein FAM115A isoform 1
4107,NP_653319,CCDC52,spindle and centriole-associated protein 1
4108,NP_808881,PDE12,"2',5'-phosphodiesterase 12"
4109,NP_886552,TRNT1,"CCA tRNA nucleotidyltransferase 1, mitochondrial"
4110,NP_006351,EIF3M,eukaryotic translation initiation factor 3 subunit M
4111,NP_001880,CRYZ,quinone oxidoreductase isoform a
4112,NP_055118,PES1,pescadillo homolog isoform 1
4113,NP_001020114,ASL,argininosuccinate lyase isoform 1
4114,NP_075559,SPATS2,spermatogenesis-associated serine-rich protein 2
4115,NP_005048,RBBP5,retinoblastoma-binding protein 5 isoform 1
4116,NP_001180201,RBBP5,retinoblastoma-binding protein 5 isoform 2
4117,NP_115635,WDR24,WD repeat-containing protein 24
4118,NP_000194,IDUA,alpha-L-iduronidase precursor
4119,NP_060115,HAUS6,HAUS augmin-like complex subunit 6 isoform 1
4120,NP_005561,LMAN1,protein ERGIC-53 precursor
4121,NP_005707,GIPC1,PDZ domain-containing protein GIPC1 isoform 1
4122,NP_573568,GIPC3,PDZ domain-containing protein GIPC3
4123,NP_060125,GIPC2,PDZ domain-containing protein GIPC2
4124,NP_004823,GSTO1,glutathione S-transferase omega-1 isoform 1
4125,NP_891993,PRKACB,cAMP-dependent protein kinase catalytic subunit beta isoform 1
4126,NP_002721,PRKACA,cAMP-dependent protein kinase catalytic subunit alpha isoform 1
4127,NP_002722,PRKACB,cAMP-dependent protein kinase catalytic subunit beta isoform 2
4128,NP_001229787,PRKACB,cAMP-dependent protein kinase catalytic subunit beta isoform 5
4129,NP_002723,PRKACG,cAMP-dependent protein kinase catalytic subunit gamma
4130,NP_066272,PDLIM1,PDZ and LIM domain protein 1
4131,NP_001101,ADAM10,disintegrin and metalloproteinase domain-containing protein 10 precursor
4132,NP_000962,RPL7,60S ribosomal protein L7
4133,NP_057122,SBDS,ribosome maturation protein SBDS
4134,NP_955392,TPD52L2,tumor protein D54 isoform a
4135,NP_955393,TPD52L2,tumor protein D54 isoform b
4136,NP_003278,TPD52L1,tumor protein D53 isoform 1
4137,NP_071905,HS1BP3,HCLS1-binding protein 3
4138,NP_653296,C1ORF58,BRO1 domain-containing protein BROX
4139,NP_006861,DSTN,destrin isoform a
4140,XP_001717731,GNOMON,PREDICTED: destrin-like
4141,NP_001164014,PGAM5,"serine/threonine-protein phosphatase PGAM5, mitochondrial isoform 1"
4142,NP_001164015,PGAM5,"serine/threonine-protein phosphatase PGAM5, mitochondrial isoform 2"
4143,NP_002884,RBBP7,histone-binding protein RBBP7 isoform 2
4144,NP_005601,RBBP4,histone-binding protein RBBP4 isoform a
4145,NP_001185648,RBBP7,histone-binding protein RBBP7 isoform 1
4146,NP_001128727,RBBP4,histone-binding protein RBBP4 isoform b
4147,NP_001128728,RBBP4,histone-binding protein RBBP4 isoform c
4148,NP_059990,MPHOSPH8,M-phase phosphoprotein 8
4149,NP_000925,SERPINF2,alpha-2-antiplasmin isoform a precursor
4150,NP_061961,PAF1,RNA polymerase II-associated factor 1 homolog isoform 1
4151,NP_055866,ERP44,endoplasmic reticulum resident protein 44 precursor
4152,NP_071682,ICA1,islet cell autoantigen 1 isoform a
4153,NP_612477,ICA1L,islet cell autoantigen 1-like protein isoform 1
4154,NP_775882,FAM98B,protein FAM98B isoform 1
4155,NP_056290,FAM98A,protein FAM98A
4156,NP_000933,PPIB,peptidyl-prolyl cis-trans isomerase B precursor
4157,NP_003895,ZNF259,zinc finger protein ZPR1
4158,NP_056147,NUDCD3,nudC domain-containing protein 3
4159,NP_060220,RETSAT,"all-trans-retinol 13,14-reductase precursor"
4160,NP_006259,DPF2,zinc finger protein ubi-d4
4161,NP_689928,TBCEL,tubulin-specific chaperone cofactor E-like protein
4162,NP_055639,FCHSD2,FCH and double SH3 domains protein 2
4163,NP_001265099,ZNF33A,zinc finger protein 33A isoform c
4164,NP_003430,ZKSCAN1,zinc finger protein with KRAB and SCAN domains 1
4165,NP_009080,ZNF184,zinc finger protein 184
4166,NP_001128650,ZNF397,zinc finger protein 397 isoform 1
4167,NP_001265104,ZNF33A,zinc finger protein 33A isoform f
4168,NP_689688,ZNF417,zinc finger protein 417
4169,NP_001008401,ZNF761,zinc finger protein 761
4170,NP_008886,ZNF33B,zinc finger protein 33B
4171,NP_009084,ZNF208,zinc finger protein 208
4172,NP_001103159,ZNF250,zinc finger protein 250 isoform b
4173,NP_001018854,ZNF187,zinc finger and SCAN domain-containing protein 26 isoform a
4174,NP_008900,ZNF28,zinc finger protein 28
4175,NP_079038,ZNF552,zinc finger protein 552
4176,NP_001131080,ZNF732,zinc finger protein 732
4177,NP_001240728,ZNF331,zinc finger protein 331
